iteration,selected_layer,score,new_rank,used_budget
1,bert.encoder.layer.5.attention.self.value,1.0,4,50
2,bert.encoder.layer.5.attention.self.value,1.0,6,52
3,bert.encoder.layer.5.attention.self.value,1.0,8,54
4,bert.encoder.layer.10.attention.self.value,0.879480765003967,4,56
5,bert.encoder.layer.10.attention.self.value,0.879480765003967,6,58
6,bert.encoder.layer.10.attention.self.value,0.879480765003967,8,60
7,bert.encoder.layer.3.attention.self.value,0.8414231936609698,4,62
8,bert.encoder.layer.3.attention.self.value,0.8414231936609698,6,64
9,bert.encoder.layer.3.attention.self.value,0.8414231936609698,8,66
10,bert.encoder.layer.8.attention.self.value,0.7879985974266298,4,68
11,bert.encoder.layer.8.attention.self.value,0.7879985974266298,6,70
12,bert.encoder.layer.8.attention.self.value,0.7879985974266298,8,72
13,bert.encoder.layer.9.attention.self.value,0.7542915160885172,4,74
14,bert.encoder.layer.9.attention.self.value,0.7542915160885172,6,76
15,bert.encoder.layer.9.attention.self.value,0.7542915160885172,8,78
16,bert.encoder.layer.6.attention.self.value,0.7439864487483857,4,80
17,bert.encoder.layer.6.attention.self.value,0.7439864487483857,6,82
18,bert.encoder.layer.6.attention.self.value,0.7439864487483857,8,84
19,bert.encoder.layer.7.attention.self.value,0.7057431583343755,4,86
20,bert.encoder.layer.7.attention.self.value,0.7057431583343755,6,88
21,bert.encoder.layer.7.attention.self.value,0.7057431583343755,8,90
22,bert.encoder.layer.2.attention.self.value,0.7000273804109205,4,92
23,bert.encoder.layer.2.attention.self.value,0.7000273804109205,6,94
24,bert.encoder.layer.2.attention.self.value,0.7000273804109205,8,96
