iteration,selected_layer,score,new_rank,used_budget
1,vit.encoder.layer.6.attention.attention.value,1.0,4,50
2,vit.encoder.layer.6.attention.attention.value,1.0,6,52
3,vit.encoder.layer.6.attention.attention.value,1.0,8,54
4,vit.encoder.layer.7.attention.attention.value,0.9037316582848973,4,56
5,vit.encoder.layer.7.attention.attention.value,0.9037316582848973,6,58
6,vit.encoder.layer.7.attention.attention.value,0.9037316582848973,8,60
7,vit.encoder.layer.11.attention.attention.value,0.8754883807193096,4,62
8,vit.encoder.layer.11.attention.attention.value,0.8754883807193096,6,64
9,vit.encoder.layer.11.attention.attention.value,0.8754883807193096,8,66
10,vit.encoder.layer.5.attention.attention.value,0.8411946220683751,4,68
11,vit.encoder.layer.5.attention.attention.value,0.8411946220683751,6,70
12,vit.encoder.layer.5.attention.attention.value,0.8411946220683751,8,72
13,vit.encoder.layer.9.attention.attention.value,0.8095246328870536,4,74
14,vit.encoder.layer.9.attention.attention.value,0.8095246328870536,6,76
15,vit.encoder.layer.9.attention.attention.value,0.8095246328870536,8,78
16,vit.encoder.layer.0.attention.attention.value,0.7640240498108587,4,80
17,vit.encoder.layer.0.attention.attention.value,0.7640240498108587,6,82
18,vit.encoder.layer.0.attention.attention.value,0.7640240498108587,8,84
19,vit.encoder.layer.8.attention.attention.value,0.7498525678026458,4,86
20,vit.encoder.layer.8.attention.attention.value,0.7498525678026458,6,88
21,vit.encoder.layer.8.attention.attention.value,0.7498525678026458,8,90
22,vit.encoder.layer.4.attention.attention.value,0.7449319052365424,4,92
23,vit.encoder.layer.4.attention.attention.value,0.7449319052365424,6,94
24,vit.encoder.layer.4.attention.attention.value,0.7449319052365424,8,96
