layer,score
vit.encoder.layer.0.attention.attention.query,0.11361108852202713
vit.encoder.layer.0.attention.attention.value,0.7640240498108587
vit.encoder.layer.1.attention.attention.query,0.12038031571579723
vit.encoder.layer.1.attention.attention.value,0.5549249954696597
vit.encoder.layer.2.attention.attention.query,0.22002520810248194
vit.encoder.layer.2.attention.attention.value,0.6940063914089613
vit.encoder.layer.3.attention.attention.query,0.24474985584363187
vit.encoder.layer.3.attention.attention.value,0.7001098760844027
vit.encoder.layer.4.attention.attention.query,0.2493649808066687
vit.encoder.layer.4.attention.attention.value,0.7449319052365424
vit.encoder.layer.5.attention.attention.query,0.29050122796493266
vit.encoder.layer.5.attention.attention.value,0.8411946220683751
vit.encoder.layer.6.attention.attention.query,0.2466533420349472
vit.encoder.layer.6.attention.attention.value,1.0
vit.encoder.layer.7.attention.attention.query,0.20544076209087317
vit.encoder.layer.7.attention.attention.value,0.9037316582848973
vit.encoder.layer.8.attention.attention.query,0.23818722210163268
vit.encoder.layer.8.attention.attention.value,0.7498525678026458
vit.encoder.layer.9.attention.attention.query,0.2977734664242092
vit.encoder.layer.9.attention.attention.value,0.8095246328870536
vit.encoder.layer.10.attention.attention.query,0.3747213480543248
vit.encoder.layer.10.attention.attention.value,0.5319534753455982
vit.encoder.layer.11.attention.attention.query,0.5395207158394675
vit.encoder.layer.11.attention.attention.value,0.8754883807193096
