layer,rank
vit.encoder.layer.0.attention.attention.query,2
vit.encoder.layer.0.attention.attention.value,8
vit.encoder.layer.1.attention.attention.query,2
vit.encoder.layer.1.attention.attention.value,2
vit.encoder.layer.2.attention.attention.query,2
vit.encoder.layer.2.attention.attention.value,2
vit.encoder.layer.3.attention.attention.query,2
vit.encoder.layer.3.attention.attention.value,2
vit.encoder.layer.4.attention.attention.query,2
vit.encoder.layer.4.attention.attention.value,8
vit.encoder.layer.5.attention.attention.query,2
vit.encoder.layer.5.attention.attention.value,8
vit.encoder.layer.6.attention.attention.query,2
vit.encoder.layer.6.attention.attention.value,8
vit.encoder.layer.7.attention.attention.query,2
vit.encoder.layer.7.attention.attention.value,8
vit.encoder.layer.8.attention.attention.query,2
vit.encoder.layer.8.attention.attention.value,8
vit.encoder.layer.9.attention.attention.query,2
vit.encoder.layer.9.attention.attention.value,8
vit.encoder.layer.10.attention.attention.query,2
vit.encoder.layer.10.attention.attention.value,2
vit.encoder.layer.11.attention.attention.query,2
vit.encoder.layer.11.attention.attention.value,8
