layer,score
bert.encoder.layer.0.attention.self.query,0.13726884280787616
bert.encoder.layer.0.attention.self.value,0.29133194565594145
bert.encoder.layer.1.attention.self.query,0.17406636625643493
bert.encoder.layer.1.attention.self.value,0.4363148329156712
bert.encoder.layer.2.attention.self.query,0.1371126719054019
bert.encoder.layer.2.attention.self.value,0.6624505284819233
bert.encoder.layer.3.attention.self.query,0.18073137547325996
bert.encoder.layer.3.attention.self.value,0.8143901654341147
bert.encoder.layer.4.attention.self.query,0.29080922835789913
bert.encoder.layer.4.attention.self.value,0.39983179814458697
bert.encoder.layer.5.attention.self.query,0.28900846032607497
bert.encoder.layer.5.attention.self.value,0.6059059738108393
bert.encoder.layer.6.attention.self.query,0.2579476887644987
bert.encoder.layer.6.attention.self.value,0.5785287743338566
bert.encoder.layer.7.attention.self.query,0.19071827698379173
bert.encoder.layer.7.attention.self.value,0.7769830657469375
bert.encoder.layer.8.attention.self.query,0.31070415239103777
bert.encoder.layer.8.attention.self.value,1.0
bert.encoder.layer.9.attention.self.query,0.29455561053767004
bert.encoder.layer.9.attention.self.value,0.9157235088315229
bert.encoder.layer.10.attention.self.query,0.3181968870267308
bert.encoder.layer.10.attention.self.value,0.5237190493895253
bert.encoder.layer.11.attention.self.query,0.23517372490678917
bert.encoder.layer.11.attention.self.value,0.9547719396275847
