iteration,selected_layer,score,new_rank,used_budget
1,bert.encoder.layer.8.attention.self.value,1.0,4,50
2,bert.encoder.layer.8.attention.self.value,1.0,6,52
3,bert.encoder.layer.8.attention.self.value,1.0,8,54
4,bert.encoder.layer.11.attention.self.value,0.9547719396275847,4,56
5,bert.encoder.layer.11.attention.self.value,0.9547719396275847,6,58
6,bert.encoder.layer.11.attention.self.value,0.9547719396275847,8,60
7,bert.encoder.layer.9.attention.self.value,0.9157235088315229,4,62
8,bert.encoder.layer.9.attention.self.value,0.9157235088315229,6,64
9,bert.encoder.layer.9.attention.self.value,0.9157235088315229,8,66
10,bert.encoder.layer.3.attention.self.value,0.8143901654341147,4,68
11,bert.encoder.layer.3.attention.self.value,0.8143901654341147,6,70
12,bert.encoder.layer.3.attention.self.value,0.8143901654341147,8,72
13,bert.encoder.layer.7.attention.self.value,0.7769830657469375,4,74
14,bert.encoder.layer.7.attention.self.value,0.7769830657469375,6,76
15,bert.encoder.layer.7.attention.self.value,0.7769830657469375,8,78
16,bert.encoder.layer.2.attention.self.value,0.6624505284819233,4,80
17,bert.encoder.layer.2.attention.self.value,0.6624505284819233,6,82
18,bert.encoder.layer.2.attention.self.value,0.6624505284819233,8,84
19,bert.encoder.layer.5.attention.self.value,0.6059059738108393,4,86
20,bert.encoder.layer.5.attention.self.value,0.6059059738108393,6,88
21,bert.encoder.layer.5.attention.self.value,0.6059059738108393,8,90
22,bert.encoder.layer.6.attention.self.value,0.5785287743338566,4,92
23,bert.encoder.layer.6.attention.self.value,0.5785287743338566,6,94
24,bert.encoder.layer.6.attention.self.value,0.5785287743338566,8,96
25,bert.encoder.layer.10.attention.self.value,0.5237190493895253,4,98
26,bert.encoder.layer.10.attention.self.value,0.5237190493895253,6,100
27,bert.encoder.layer.10.attention.self.value,0.5237190493895253,8,102
28,bert.encoder.layer.1.attention.self.value,0.4363148329156712,4,104
29,bert.encoder.layer.1.attention.self.value,0.4363148329156712,6,106
30,bert.encoder.layer.1.attention.self.value,0.4363148329156712,8,108
31,bert.encoder.layer.4.attention.self.value,0.39983179814458697,4,110
32,bert.encoder.layer.4.attention.self.value,0.39983179814458697,6,112
33,bert.encoder.layer.4.attention.self.value,0.39983179814458697,8,114
34,bert.encoder.layer.10.attention.self.query,0.3181968870267308,4,116
35,bert.encoder.layer.10.attention.self.query,0.3181968870267308,6,118
36,bert.encoder.layer.10.attention.self.query,0.3181968870267308,8,120
37,bert.encoder.layer.8.attention.self.query,0.31070415239103777,4,122
38,bert.encoder.layer.8.attention.self.query,0.31070415239103777,6,124
39,bert.encoder.layer.8.attention.self.query,0.31070415239103777,8,126
40,bert.encoder.layer.9.attention.self.query,0.29455561053767004,4,128
41,bert.encoder.layer.9.attention.self.query,0.29455561053767004,6,130
42,bert.encoder.layer.9.attention.self.query,0.29455561053767004,8,132
43,bert.encoder.layer.0.attention.self.value,0.29133194565594145,4,134
44,bert.encoder.layer.0.attention.self.value,0.29133194565594145,6,136
45,bert.encoder.layer.0.attention.self.value,0.29133194565594145,8,138
46,bert.encoder.layer.4.attention.self.query,0.29080922835789913,4,140
47,bert.encoder.layer.4.attention.self.query,0.29080922835789913,6,142
48,bert.encoder.layer.4.attention.self.query,0.29080922835789913,8,144
49,bert.encoder.layer.5.attention.self.query,0.28900846032607497,4,146
50,bert.encoder.layer.5.attention.self.query,0.28900846032607497,6,148
51,bert.encoder.layer.5.attention.self.query,0.28900846032607497,8,150
52,bert.encoder.layer.6.attention.self.query,0.2579476887644987,4,152
53,bert.encoder.layer.6.attention.self.query,0.2579476887644987,6,154
54,bert.encoder.layer.6.attention.self.query,0.2579476887644987,8,156
55,bert.encoder.layer.11.attention.self.query,0.23517372490678917,4,158
56,bert.encoder.layer.11.attention.self.query,0.23517372490678917,6,160
57,bert.encoder.layer.11.attention.self.query,0.23517372490678917,8,162
58,bert.encoder.layer.7.attention.self.query,0.19071827698379173,4,164
59,bert.encoder.layer.7.attention.self.query,0.19071827698379173,6,166
60,bert.encoder.layer.7.attention.self.query,0.19071827698379173,8,168
61,bert.encoder.layer.3.attention.self.query,0.18073137547325996,4,170
62,bert.encoder.layer.3.attention.self.query,0.18073137547325996,6,172
63,bert.encoder.layer.3.attention.self.query,0.18073137547325996,8,174
64,bert.encoder.layer.1.attention.self.query,0.17406636625643493,4,176
65,bert.encoder.layer.1.attention.self.query,0.17406636625643493,6,178
66,bert.encoder.layer.1.attention.self.query,0.17406636625643493,8,180
67,bert.encoder.layer.0.attention.self.query,0.13726884280787616,4,182
68,bert.encoder.layer.0.attention.self.query,0.13726884280787616,6,184
69,bert.encoder.layer.0.attention.self.query,0.13726884280787616,8,186
70,bert.encoder.layer.2.attention.self.query,0.1371126719054019,4,188
71,bert.encoder.layer.2.attention.self.query,0.1371126719054019,6,190
72,bert.encoder.layer.2.attention.self.query,0.1371126719054019,8,192
