iteration,selected_layer,score,new_rank,used_budget
1,bert.encoder.layer.11.attention.self.value,1.0,4,50
2,bert.encoder.layer.11.attention.self.value,1.0,6,52
3,bert.encoder.layer.11.attention.self.value,1.0,8,54
4,bert.encoder.layer.8.attention.self.value,0.8699848416310137,4,56
5,bert.encoder.layer.8.attention.self.value,0.8699848416310137,6,58
6,bert.encoder.layer.8.attention.self.value,0.8699848416310137,8,60
7,bert.encoder.layer.2.attention.self.value,0.5510257045217202,4,62
8,bert.encoder.layer.2.attention.self.value,0.5510257045217202,6,64
9,bert.encoder.layer.2.attention.self.value,0.5510257045217202,8,66
10,bert.encoder.layer.6.attention.self.value,0.5218166938072224,4,68
11,bert.encoder.layer.6.attention.self.value,0.5218166938072224,6,70
12,bert.encoder.layer.6.attention.self.value,0.5218166938072224,8,72
13,bert.encoder.layer.7.attention.self.value,0.51903013881582,4,74
14,bert.encoder.layer.7.attention.self.value,0.51903013881582,6,76
15,bert.encoder.layer.7.attention.self.value,0.51903013881582,8,78
16,bert.encoder.layer.5.attention.self.value,0.4578561358184854,4,80
17,bert.encoder.layer.5.attention.self.value,0.4578561358184854,6,82
18,bert.encoder.layer.5.attention.self.value,0.4578561358184854,8,84
19,bert.encoder.layer.4.attention.self.value,0.441830093181134,4,86
20,bert.encoder.layer.4.attention.self.value,0.441830093181134,6,88
21,bert.encoder.layer.4.attention.self.value,0.441830093181134,8,90
22,bert.encoder.layer.3.attention.self.value,0.4184212610574063,4,92
23,bert.encoder.layer.3.attention.self.value,0.4184212610574063,6,94
24,bert.encoder.layer.3.attention.self.value,0.4184212610574063,8,96
